system,label,n,E,R,B_mean,B_std,B_runs
condmat,2015,159331,1011059,1,715.0,0.0,[715]
condmat,2016,175436,1155367,1,747.0,0.0,[747]
condmat,2017,191866,1313240,1,772.0,0.0,[772]
condmat,2018,209398,1486287,1,729.0,0.0,[729]
condmat,2019,228882,1695858,1,909.0,0.0,[909]
condmat,2020,249992,1930829,1,1007.0,0.0,[1007]
condmat,2021,270025,2171550,1,1052.0,0.0,[1052]
condmat,2022,289309,2429395,1,1137.0,0.0,[1137]
condmat,2023,310272,2705923,1,1110.0,0.0,[1110]
condmat,2024,332187,3013879,1,1224.0,0.0,[1224]
condmat,2025,357652,3456577,1,1253.0,0.0,[1253]
condmat,2026,370569,3712354,1,1192.0,0.0,[1192]
